Entity,Code,Day,COVID-19 doses (cumulative),COVID-19 doses,COVID-19 doses pro-rated
Philippines,PHL,2021-02-28,0,0,0
Philippines,PHL,2021-03-01,756,756,33.4214699346027
Philippines,PHL,2021-03-02,2793,2037,90.0522939904572
Philippines,PHL,2021-03-04,10000,7207,318.609171717833
Philippines,PHL,2021-03-06,25138,15138,669.225147976211
Philippines,PHL,2021-03-07,29266,4128,182.491835833386
Philippines,PHL,2021-03-08,44000,14734,651.364997376238
Philippines,PHL,2021-03-09,89077,45077,1992.77724899747
Philippines,PHL,2021-03-10,114500,25423,1123.90744728493
Philippines,PHL,2021-03-13,193492,78992,3492.10152523034
Philippines,PHL,2021-03-15,215997,22505,994.907646664329
Philippines,PHL,2021-03-16,216794,797,35.2340099707385
Philippines,PHL,2021-03-17,269583,52789,2333.71160896526
Philippines,PHL,2021-03-20,336656,67073,2965.18287423757
Philippines,PHL,2021-03-23,508332,171676,7589.50300594292
Philippines,PHL,2021-03-27,656331,147999,6542.78323922124
Philippines,PHL,2021-03-30,738913,82582,3650.80929912613
Philippines,PHL,2021-04-05,855457,116544,5152.21136515653
Philippines,PHL,2021-04-06,922898,67441,2981.45152626923
Philippines,PHL,2021-04-11,1139644,216746,9581.97079688544
Philippines,PHL,2021-04-12,1202297,62653,2769.78221668341
Philippines,PHL,2021-04-13,1255716,53419,2361.56283391077
Philippines,PHL,2021-04-14,1312356,56640,2503.95774748134
Philippines,PHL,2021-04-17,1456793,144437,6385.31329754525
Philippines,PHL,2021-04-18,1477757,20964,926.78266628176
Philippines,PHL,2021-04-19,1507547,29790,1316.96506528018
Philippines,PHL,2021-04-20,1562563,55016,2432.16347873294
Philippines,PHL,2021-04-21,1612420,49857,2204.09289223477
Philippines,PHL,2021-04-22,1666687,54267,2399.05146685328
Philippines,PHL,2021-04-23,1732359,65672,2903.247054954
Philippines,PHL,2021-04-24,1753465,21106,933.060243967889
Philippines,PHL,2021-04-26,1767940,14475,639.915049343087
Philippines,PHL,2021-04-27,1809801,41861,1850.60337689471
Philippines,PHL,2021-04-28,1849566,39765,1757.94279358396
Philippines,PHL,2021-04-29,1880975,31409,1388.53829256076
Philippines,PHL,2021-04-30,1919851,38876,1718.64162060531
Philippines,PHL,2021-05-01,1941196,21345,943.626026129754
Philippines,PHL,2021-05-03,1999214,58018,2564.87677601293
Philippines,PHL,2021-05-04,2065235,66021,2918.67574940794
Philippines,PHL,2021-05-05,2129185,63950,2827.1203734363
Philippines,PHL,2021-05-07,2314377,185192,8187.02230175786
Philippines,PHL,2021-05-08,2395494,81117,3586.04414905445
Philippines,PHL,2021-05-09,2408781,13287,587.395596588711
Philippines,PHL,2021-05-11,2542066,133285,5892.30240771629
Philippines,PHL,2021-05-13,2714677,172611,7630.83776042553
Philippines,PHL,2021-05-14,2790287,75610,3342.58907639591
Philippines,PHL,2021-05-15,2921196,130909,5787.26350220754
Philippines,PHL,2021-05-16,3001875,80679,3566.68091647329
Philippines,PHL,2021-05-18,3299470,297595,13156.1671232647
Philippines,PHL,2021-05-20,3718308,418838,18516.1132598798
Philippines,PHL,2021-05-21,3956292,237984,10520.8665356038
Philippines,PHL,2021-05-22,4097425,141133,6239.24909560883
Philippines,PHL,2021-05-23,4169905,72480,3204.21711753968
Philippines,PHL,2021-05-24,4305575,135670,5997.73918786712
